Pedido;UF;Logger;LPN;MODAL;Data da coleta;Data da entrega;COLETA EMBARQUE;ENTREGA EMBARQUE
555088;AC;A0239;00019200000013202200;MultiModal;02/07/2026 00:10;07/07/2026 18:00;02/07/2026 00:10;07/07/2026 18:00
555088;AC;TA0335;00019200000013202219;MultiModal;02/07/2026 00:10;07/07/2026 18:00;02/07/2026 00:10;07/07/2026 18:00
556742;AC;A6529;00019200000012905500;MultiModal;13/06/2026 12:46;17/06/2026 17:00;13/06/2026 12:46;17/06/2026 17:00
556742;AC;A9481;00019200000012906239;MultiModal;13/06/2026 12:46;17/06/2026 17:00;13/06/2026 12:46;17/06/2026 17:00
556742;AC;A0956;00019200000012906247;MultiModal;13/06/2026 12:46;17/06/2026 17:00;13/06/2026 12:46;17/06/2026 17:00
556742;AC;A7277;00019200000012906280;MultiModal;13/06/2026 12:46;17/06/2026 17:00;13/06/2026 12:46;17/06/2026 17:00
556742;AC;A8666;00019200000012906298;MultiModal;13/06/2026 12:46;17/06/2026 17:00;13/06/2026 12:46;17/06/2026 17:00
556760;AC;A7945;00019200000012702374;MultiModal;13/06/2026 12:46;17/06/2026 17:00;13/06/2026 12:46;17/06/2026 17:00
556760;AC;TA0945;00019200000012908274;MultiModal;13/06/2026 12:46;17/06/2026 17:00;13/06/2026 12:46;17/06/2026 17:00
556760;AC;A4349;00019200000012908282;MultiModal;13/06/2026 12:46;17/06/2026 17:00;13/06/2026 12:46;17/06/2026 17:00
556760;AC;A3872;00019200000012908290;MultiModal;13/06/2026 12:46;17/06/2026 17:00;13/06/2026 12:46;17/06/2026 17:00
556915;AC;A7150;00019200000012905798;MultiModal;11/06/2026 00:34;13/06/2026 11:11;-;-
556915;AC;A7957;00019200000012905836;MultiModal;11/06/2026 00:34;13/06/2026 11:11;-;-
557011;AC;A1501;00019200000012904503;MultiModal;15/06/2026 08:15;18/06/2026 11:00;15/06/2026 08:15;18/06/2026 11:00
557011;AC;A2706;00019200000012904511;MultiModal;15/06/2026 08:15;18/06/2026 11:00;15/06/2026 08:15;18/06/2026 11:00
557011;AC;A7846;00019200000012904562;MultiModal;15/06/2026 08:15;18/06/2026 11:00;15/06/2026 08:15;18/06/2026 11:00
557095;AC;TA0912;00019200000012386960;MultiModal;15/06/2026 08:13;18/06/2026 11:00;15/06/2026 08:13;18/06/2026 11:00
