Caixa;Tipo de caixa;Tipo térmico;Pedido;UF;Logger;LPN;MODAL;Data da coleta;Data da entrega;COLETA EMBARQUE;ENTREGA EMBARQUE
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;555088;AC;A0239;00019200000013202200;MultiModal;02/07/2026 00:10;07/07/2026 18:00;02/07/2026 00:10;07/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;555088;AC;TA0335;00019200000013202219;MultiModal;02/07/2026 00:10;07/07/2026 18:00;02/07/2026 00:10;07/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A9047;00019200000013429230;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A4478;00019200000013429248;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A5861;00019200000013429256;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A6786;00019200000013429264;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A2047;00019200000013429272;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A1927;00019200000013429280;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A6236;00019200000013429299;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;TA0195;00019200000013429302;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;TA0513;00019200000013429310;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;TA1007;00019200000013429329;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;TA0037;00019200000013429337;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A9208;00019200000013429345;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;TA0407;00019200000013429353;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;TA0354;00019200000013429361;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A8023;00019200000013429370;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A9431;00019200000013429388;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A9609;00019200000013429396;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A6244;00019200000013429400;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A8055;00019200000013429418;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A8216;00019200000013429426;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A9107;00019200000013429434;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557837;AC;A2449;00019200000013429442;MultiModal;07/07/2026 01:05;09/07/2026 18:00;07/07/2026 01:05;09/07/2026 18:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;558494;AC;A7884;00019200000013486489;MultiModal;13/07/2026 23:14;20/07/2026 18:00;14/07/2026 22:51;-
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;560388;AC;A6102;00019200000013488201;MultiModal;13/07/2026 00:46;15/07/2026 15:00;13/07/2026 00:46;15/07/2026 15:00
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;TA0074;00019200000013325639;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A3596;00019200000013325647;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A0168;00019200000013325655;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A1824;00019200000013325663;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A9560;00019200000013326236;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;TA0110;00019200000013326244;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A9102;00019200000013326414;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A0014;00019200000013326422;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A4775;00019200000013326430;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A7763;00019200000013326449;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A0094;00019200000013326457;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A4457;00019200000013326465;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A5736;00019200000013326473;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A6526;00019200000013326481;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A3553;00019200000013326490;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A6903;00019200000013326503;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A7286;00019200000013326511;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;TA0739;00019200000013326520;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
CAIXA 130L;CAIXA 130L COM BERÇO;2 C a 8 C;557839;AL;A2990;00019200000013326538;MultiModal;02/07/2026 04:24;03/07/2026 14:38;02/07/2026 04:24;03/07/2026 14:38
